date,curah_hujan,kecamatan
20210520,10.83,Lhoksukon
20210521,12.85,Lhoksukon
20210522,0.85,Lhoksukon
20210523,0.54,Lhoksukon
20210524,0.61,Lhoksukon
20210525,21.59,Lhoksukon
20210526,10.78,Lhoksukon
20210527,12.41,Lhoksukon
20210528,1.55,Lhoksukon
20210529,2.0,Lhoksukon
20210530,2.06,Lhoksukon
20210531,5.18,Lhoksukon
20210601,6.83,Lhoksukon
20210602,2.56,Lhoksukon
20210603,2.86,Lhoksukon
20210604,124.57,Lhoksukon
20210605,8.03,Lhoksukon
20210606,1.56,Lhoksukon
20210607,1.17,Lhoksukon
20210608,0.91,Lhoksukon
20210609,4.18,Lhoksukon
20210610,0.57,Lhoksukon
20210611,1.34,Lhoksukon
20210612,1.92,Lhoksukon
20210613,1.65,Lhoksukon
20210614,1.19,Lhoksukon
20210615,1.16,Lhoksukon
20210616,0.32,Lhoksukon
20210617,0.33,Lhoksukon
20210618,0.38,Lhoksukon
20210619,4.04,Lhoksukon
20210620,3.56,Lhoksukon
20210621,10.97,Lhoksukon
20210622,4.88,Lhoksukon
20210623,2.84,Lhoksukon
20210624,2.27,Lhoksukon
20210625,10.1,Lhoksukon
20210626,7.39,Lhoksukon
20210627,9.94,Lhoksukon
20210628,0.7,Lhoksukon
20210629,3.68,Lhoksukon
20210630,2.27,Lhoksukon
20210701,0.4,Lhoksukon
20210702,2.33,Lhoksukon
20210703,3.38,Lhoksukon
20210704,5.14,Lhoksukon
20210705,26.18,Lhoksukon
20210706,17.91,Lhoksukon
20210707,1.61,Lhoksukon
20210708,4.67,Lhoksukon
20210709,17.38,Lhoksukon
20210710,20.76,Lhoksukon
20210711,9.24,Lhoksukon
20210712,1.29,Lhoksukon
20210713,9.82,Lhoksukon
20210714,3.93,Lhoksukon
20210715,1.49,Lhoksukon
20210716,0.25,Lhoksukon
20210717,0.04,Lhoksukon
20210718,0.05,Lhoksukon
20210719,0.09,Lhoksukon
20210720,1.22,Lhoksukon
20210721,3.37,Lhoksukon
20210722,4.58,Lhoksukon
20210723,0.86,Lhoksukon
20210724,0.94,Lhoksukon
20210725,0.62,Lhoksukon
20210726,0.47,Lhoksukon
20210727,0.33,Lhoksukon
20210728,2.04,Lhoksukon
20210729,2.49,Lhoksukon
20210730,6.64,Lhoksukon
20210731,5.52,Lhoksukon
20210801,8.78,Lhoksukon
20210802,2.25,Lhoksukon
20210803,8.42,Lhoksukon
20210804,1.09,Lhoksukon
20210805,0.6,Lhoksukon
20210806,0.25,Lhoksukon
20210807,0.26,Lhoksukon
20210808,0.36,Lhoksukon
20210809,6.26,Lhoksukon
20210810,15.79,Lhoksukon
20210811,5.61,Lhoksukon
20210812,3.45,Lhoksukon
20210813,6.21,Lhoksukon
20210814,5.64,Lhoksukon
20210815,10.09,Lhoksukon
20210816,13.67,Lhoksukon
20210817,1.92,Lhoksukon
20210818,10.56,Lhoksukon
20210819,11.19,Lhoksukon
20210820,4.42,Lhoksukon
20210821,28.61,Lhoksukon
20210822,19.92,Lhoksukon
20210823,27.52,Lhoksukon
20210824,10.0,Lhoksukon
20210825,10.06,Lhoksukon
20210826,4.66,Lhoksukon
20210827,1.42,Lhoksukon
20210828,1.05,Lhoksukon
20210829,2.02,Lhoksukon
20210830,10.28,Lhoksukon
20210831,2.11,Lhoksukon
20210901,21.37,Lhoksukon
20210902,15.19,Lhoksukon
20210903,1.2,Lhoksukon
20210904,0.81,Lhoksukon
20210905,0.04,Lhoksukon
20210906,0.12,Lhoksukon
20210907,1.3,Lhoksukon
20210908,7.05,Lhoksukon
20210909,5.15,Lhoksukon
20210910,1.66,Lhoksukon
20210911,18.54,Lhoksukon
20210912,5.13,Lhoksukon
20210913,3.38,Lhoksukon
20210914,0.47,Lhoksukon
20210915,2.71,Lhoksukon
20210916,3.33,Lhoksukon
20210917,1.21,Lhoksukon
20210918,2.06,Lhoksukon
20210919,4.63,Lhoksukon
20210920,4.28,Lhoksukon
20210921,3.49,Lhoksukon
20210922,4.5,Lhoksukon
20210923,0.9,Lhoksukon
20210924,1.21,Lhoksukon
20210925,1.58,Lhoksukon
20210926,6.78,Lhoksukon
20210927,3.49,Lhoksukon
20210928,5.37,Lhoksukon
20210929,3.54,Lhoksukon
20210930,17.64,Lhoksukon
20211001,15.17,Lhoksukon
20211002,0.19,Lhoksukon
20211003,3.03,Lhoksukon
20211004,3.29,Lhoksukon
20211005,2.04,Lhoksukon
20211006,7.93,Lhoksukon
20211007,3.52,Lhoksukon
20211008,1.16,Lhoksukon
20211009,1.7,Lhoksukon
20211010,0.8,Lhoksukon
20211011,0.26,Lhoksukon
20211012,0.45,Lhoksukon
20211013,0.93,Lhoksukon
20211014,2.19,Lhoksukon
20211015,1.32,Lhoksukon
20211016,38.49,Lhoksukon
20211017,23.66,Lhoksukon
20211018,1.69,Lhoksukon
20211019,8.97,Lhoksukon
20211020,9.03,Lhoksukon
20211021,1.03,Lhoksukon
20211022,2.28,Lhoksukon
20211023,15.21,Lhoksukon
20211024,7.27,Lhoksukon
20211025,3.4,Lhoksukon
20211026,18.15,Lhoksukon
20211027,14.02,Lhoksukon
20211028,5.52,Lhoksukon
20211029,14.63,Lhoksukon
20211030,28.03,Lhoksukon
20211031,4.12,Lhoksukon
20211101,3.72,Lhoksukon
20211102,3.22,Lhoksukon
20211103,4.19,Lhoksukon
20211104,3.67,Lhoksukon
20211105,7.73,Lhoksukon
20211106,25.92,Lhoksukon
20211107,3.76,Lhoksukon
20211108,16.34,Lhoksukon
20211109,3.44,Lhoksukon
20211110,13.11,Lhoksukon
20211111,7.65,Lhoksukon
20211112,1.92,Lhoksukon
20211113,0.46,Lhoksukon
20211114,0.89,Lhoksukon
20211115,3.02,Lhoksukon
20211116,11.75,Lhoksukon
20211117,12.97,Lhoksukon
20211118,0.67,Lhoksukon
20211119,4.05,Lhoksukon
20211120,2.91,Lhoksukon
20211121,4.31,Lhoksukon
20211122,1.25,Lhoksukon
20211123,2.02,Lhoksukon
20211124,4.67,Lhoksukon
20211125,2.9,Lhoksukon
20211126,2.37,Lhoksukon
20211127,12.88,Lhoksukon
20211128,13.29,Lhoksukon
20211129,38.04,Lhoksukon
20211130,8.45,Lhoksukon
20211201,16.99,Lhoksukon
20211202,4.62,Lhoksukon
20211203,25.45,Lhoksukon
20211204,4.87,Lhoksukon
20211205,4.98,Lhoksukon
20211206,1.36,Lhoksukon
20211207,1.09,Lhoksukon
20211208,0.64,Lhoksukon
20211209,1.89,Lhoksukon
20211210,2.02,Lhoksukon
20211211,2.01,Lhoksukon
20211212,1.35,Lhoksukon
20211213,0.67,Lhoksukon
20211214,2.14,Lhoksukon
20211215,2.08,Lhoksukon
20211216,3.18,Lhoksukon
20211217,17.18,Lhoksukon
20211218,28.84,Lhoksukon
20211219,16.87,Lhoksukon
20211220,12.72,Lhoksukon
20211221,16.55,Lhoksukon
20211222,0.56,Lhoksukon
20211223,0.65,Lhoksukon
20211224,0.01,Lhoksukon
20211225,0.01,Lhoksukon
20211226,0.01,Lhoksukon
20211227,0.35,Lhoksukon
20211228,0.56,Lhoksukon
20211229,0.95,Lhoksukon
20211230,67.27,Lhoksukon
20211231,90.47,Lhoksukon
20220101,17.82,Lhoksukon
20220102,4.09,Lhoksukon
20220103,3.89,Lhoksukon
20220104,16.09,Lhoksukon
20220105,3.01,Lhoksukon
20220106,0.78,Lhoksukon
20220107,0.27,Lhoksukon
20220108,1.16,Lhoksukon
20220109,1.55,Lhoksukon
20220110,2.16,Lhoksukon
20220111,0.53,Lhoksukon
20220112,1.8,Lhoksukon
20220113,1.1,Lhoksukon
20220114,0.06,Lhoksukon
20220115,0.08,Lhoksukon
20220116,0.79,Lhoksukon
20220117,3.11,Lhoksukon
20220118,1.43,Lhoksukon
20220119,0.45,Lhoksukon
20220120,0.54,Lhoksukon
20220121,1.01,Lhoksukon
20220122,0.4,Lhoksukon
20220123,1.82,Lhoksukon
20220124,34.8,Lhoksukon
20220125,7.25,Lhoksukon
20220126,1.88,Lhoksukon
20220127,0.45,Lhoksukon
20220128,0.44,Lhoksukon
20220129,0.25,Lhoksukon
20220130,0.29,Lhoksukon
20220131,0.3,Lhoksukon
20220201,0.35,Lhoksukon
20220202,0.72,Lhoksukon
20220203,0.53,Lhoksukon
20220204,1.09,Lhoksukon
